G&Series|G05|F|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1
G&Series|G05|R|0|1|1|0|1|0|0|0|3|2|1|1|1|1|1|2
G&Series|G06|F|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|3
G&Series|G06|R|0|1|1|0|1|0|0|0|3|2|1|1|1|1|1|4
G&Series|G07|R|0|1|1|0|1|0|0|0|3|2|1|1|1|1|1|5
G&Series|G07|F|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|6
G70&G60|G60|F|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|7
G70&G60|G60|R|0|1|1|0|1|0|0|0|3|2|1|1|1|1|1|8
G70|G70|F|1|1|1|1|1|0|0|0|2|1|1|1|1|1|1|9
G70|G70|R|0|1|1|0|1|0|0|0|3|2|1|1|1|1|1|10
F44&U11|U11|F|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|11
F44&U11|U11|R|0|1|1|0|1|1|1|1|6|2|1|1|1|1|1|12
G&Series|G45|F|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|13
G&Series|G45|R|0|1|1|0|1|0|0|0|3|2|1|1|1|2|1|14
G20|G20|F|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|15
G20|G20|R|0|1|1|0|1|1|1|1|5|2|1|1|1|1|1|16
G&Series|G05|F|0|1|1|0|1|0|0|0|1|1|1|1|1|1|1|17
G&Series|G06|F|0|1|1|0|1|0|0|0|1|1|1|1|1|1|1|18
G&Series|G07|F|0|1|1|0|1|0|0|0|1|1|1|1|1|1|1|19
G70&G60|G60|F|0|1|1|0|1|0|0|0|1|1|1|1|1|1|1|20
G70|G70|F|0|1|1|0|1|0|0|0|2|1|1|1|1|1|1|21
F44&U11|U11|F|0|1|1|0|1|0|0|0|1|1|1|1|1|1|1|22
G&Series|G45|F|0|1|1|0|1|0|0|0|1|1|1|1|1|1|1|23
G20|G20|F|0|1|1|0|1|0|0|0|1|1|1|1|1|1|1|24
G05|G05|R|0|0|0|0|0|1|1|1|1|1|1|1|1|2|1|25
G30|G60|R|0|0|0|0|0|1|1|1|1|1|1|1|1|2|1|27
F44&U11|U25|F|0|1|1|1|1|0|0|0|1|1|1|1|1|1|1|28
F44&U11|U25|R|0|1|1|0|1|1|1|1|1|1|1|1|1|2|1|29
G30|G60|F|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|30
G70&G60|G70|F|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|31
G70&G60|G70|R|0|1|1|0|1|0|0|0|3|2|1|1|1|1|1|32
G70&G60|G70|F|0|1|1|0|1|0|0|0|1|1|1|1|1|1|1|33
K8X|K80 MU|F|0|1|1|1|1|1|1|1|7|3|2|2|2|3|2|34
K8X|K80 MU|R|0|1|1|1|1|1|1|1|7|3|2|2|2|3|2|35
K8X|Test Dup|F|0|1|1|1|1|1|1|1|7|3|2|2|2|3|2|36
K8X|Test Dup|R|0|1|1|1|1|1|1|1|7|3|2|2|2|3|2|37
